Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Hardware Information on AWS Documentation & Comments
a1.medium,November 2018,1,16,Graviton,2,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,29","0,80","1,88","2,55","0,40","0,60","0,80","1,20","0,0","0,0","0,0","0,0","0,5","1,2","1,9","3,2","4,2",AWS Graviton (ARM)
a1.large,November 2018,2,16,Graviton,4,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,58","1,59","3,76","5,09","0,80","1,20","1,60","2,40","0,0","0,0","0,0","0,0","1,0","2,4","3,8","6,4","8,5",AWS Graviton (ARM)
a1.xlarge,November 2018,4,16,Graviton,8,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,16","3,18","7,52","10,19","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","2,0","4,8","7,6","12,7","17,0",AWS Graviton (ARM)
a1.2xlarge,November 2018,8,16,Graviton,16,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"2,32","6,37","15,05","20,37","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","4,0","9,5","15,2","25,4","34,0",AWS Graviton (ARM)
a1.4xlarge,November 2018,16,16,Graviton,32,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"4,65","12,73","30,09","40,74","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","8,0","19,0","30,3","50,9","67,9",AWS Graviton (ARM)
a1.metal,October 2019,16,16,Graviton,32,32,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"4,65","12,73","30,09","40,74","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","8,0","19,0","30,3","50,9","67,9",AWS Graviton (ARM)
c1.medium,May 2008,2,48,Xeon E5-2651 v2,1.7,42,1 x SSD 350,SSD,4,N/A,N/A,N/A,N/A,"0,95","2,73","5,61","7,67","0,34","0,51","0,68","1,02","0,0","0,0","0,0","0,0","1,6","2,9","4,8","7,9","10,3",
c1.xlarge,May 2008,8,48,Xeon E5-2651 v2,7,42,4 x SSD 420,SSD,4,N/A,N/A,N/A,N/A,"3,82","10,90","22,43","30,70","1,40","2,10","2,80","4,20","0,0","0,0","0,0","0,0","6,3","11,6","19,3","31,6","41,2",
cr1.8xlarge,January 2013,32,32,Xeon E5-2670,244,244,2 x 120 (SSD),SSD,2,N/A,N/A,N/A,N/A,"27,74","79,20","162,90","222,97","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","46,0","122,5","198,4","306,5","415,4",dual 2.6 GHz Intel Xeon E5-2670 processors
cc2.8xlarge,November 2011,32,32,Xeon E5-2670,60.5,60.5,4 x SSD 840,SSD,4,N/A,N/A,N/A,N/A,"27,74","79,20","162,90","222,97","12,10","18,15","24,20","36,30","0,0","0,0","0,0","0,0","46,0","85,8","143,3","233,1","305,3",dual Intel Xeon processors
c3.large,November 2013,2,40,Xeon E5-2680 v2,3.75,60,2 x 16 (SSD),SSD,2,N/A,N/A,N/A,N/A,"1,39","3,96","8,14","11,15","0,75","1,13","1,50","2,25","0,0","0,0","0,0","0,0","2,3","4,4","7,4","11,9","15,7",2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.xlarge,November 2013,4,40,Xeon E5-2680 v2,7.5,60,2 x 40 (SSD),SSD,2,N/A,N/A,N/A,N/A,"2,77","7,92","16,29","22,30","1,50","2,25","3,00","4,50","0,0","0,0","0,0","0,0","4,6","8,9","14,8","23,9","31,4",2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.2xlarge,November 2013,8,40,Xeon E5-2680 v2,15,60,2 x 80 (SSD),SSD,2,N/A,N/A,N/A,N/A,"5,55","15,84","32,58","44,59","3,00","4,50","6,00","9,00","0,0","0,0","0,0","0,0","9,2","17,7","29,5","47,8","62,8",2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
c3.4xlarge,November 2013,16,40,Xeon E5-2680 v2,30,60,2 x 160 (SSD),SSD,2,N/A,N/A,N/A,N/A,"11,10","31,68","65,16","89,19","6,00","9,00","12,00","18,00","0,0","0,0","0,0","0,0","18,4","35,5","59,1","95,6","125,6",2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor
