Instance type,Instance vCPU,Instance Memory (in GB),Min Watts,Max Watts,Architecture
A1 v2,1.0,2.0,0.85,3.69,Unknown
A2 v2,2.0,4.0,1.69,7.39,Unknown
A2m v2,2.0,16.0,1.69,7.39,Unknown
A4 v2,4.0,8.0,3.39,14.77,Unknown
A4m v2,4.0,32.0,3.39,14.77,Unknown
A8 v2,8.0,16.0,6.78,29.55,Unknown
A8m v2,8.0,64.0,6.78,29.55,Unknown
B12MS,12.0,48.0,10.17,44.32,Unknown
B16MS,16.0,64.0,13.56,59.09,Unknown
B1LS,1.0,0.5,0.85,3.69,Unknown
B1MS,1.0,2.0,0.85,3.69,Unknown
B1S,1.0,1.0,0.85,3.69,Unknown
B20MS,20.0,80.0,16.94,73.87,Unknown
B2MS,2.0,8.0,1.69,7.39,Unknown
B2S,2.0,4.0,1.69,7.39,Unknown
B4MS,4.0,16.0,3.39,14.77,Unknown
B8MS,8.0,32.0,6.78,29.55,Unknown
D1 v2,1.0,3.5,1.9,6.01,Haswell
D11 v2,2.0,14.0,3.8,12.03,Haswell
D12 v2,4.0,28.0,7.6,24.05,Haswell
D13 v2,8.0,56.0,15.2,48.1,Haswell
D14 v2,16.0,112.0,30.41,96.21,Haswell
D15 v2,20.0,140.0,38.01,120.26,Haswell
D15i v2 1,20.0,140.0,38.01,120.26,Haswell
D16 v3,16.0,64.0,30.41,96.21,Haswell
D16 v4,16.0,64.0,10.22,63.48,Cascade Lake
D16a v4,16.0,64.0,7.59,27.09,EPYC 2nd Gen
D16as v4,16.0,64.0,7.59,27.09,EPYC 2nd Gen
D16d v4,16.0,64.0,10.22,63.48,Cascade Lake
D16ds v4,16.0,64.0,10.22,63.48,Cascade Lake
D16s v3,16.0,64.0,30.41,96.21,Haswell
D16s v4,16.0,64.0,30.41,96.21,Haswell
D2 v2,2.0,7.0,3.8,12.03,Haswell
D2 v3,2.0,8.0,3.8,12.03,Haswell
D2 v4,2.0,8.0,1.28,7.93,Cascade Lake
D2a v4,2.0,8.0,0.95,3.39,EPYC 2nd Gen
D2as v4,2.0,8.0,0.95,3.39,EPYC 2nd Gen
D2d v4,2.0,8.0,1.28,7.93,Cascade Lake
D2ds v4,2.0,8.0,1.28,7.93,Cascade Lake
D2s v3,2.0,8.0,3.8,12.03,Haswell
D2s v4,2.0,8.0,3.8,12.03,Haswell
D3 v2,4.0,14.0,7.6,24.05,Haswell
D32 v3,32.0,128.0,60.82,192.41,Haswell
D32 v4,32.0,128.0,20.45,126.95,Cascade Lake
D32a v4,32.0,128.0,15.18,54.17,EPYC 2nd Gen
D32as v4,32.0,128.0,15.18,54.17,EPYC 2nd Gen
D32d v4,32.0,128.0,20.45,126.95,Cascade Lake
D32ds v4,32.0,128.0,20.45,126.95,Cascade Lake
D32s v3,32.0,128.0,60.82,192.41,Haswell
D32s v4,32.0,128.0,60.82,192.41,Haswell
D4 v2,8.0,28.0,15.2,48.1,Haswell
D4 v3,4.0,16.0,7.6,24.05,Haswell
D4 v4,4.0,16.0,2.56,15.87,Cascade Lake
D48 v3,48.0,192.0,91.23,288.62,Haswell
D48 v4,48.0,192.0,30.67,190.43,Cascade Lake
D48a v4,48.0,192.0,22.76,81.26,EPYC 2nd Gen
D48as v4,48.0,192.0,22.76,81.26,EPYC 2nd Gen
D48d v4,48.0,192.0,30.67,190.43,Cascade Lake
D48ds v4,48.0,192.0,30.67,190.43,Cascade Lake
D48s v3,48.0,192.0,91.23,288.62,Haswell
D48s v4,48.0,192.0,91.23,288.62,Haswell
D4a v4,4.0,16.0,1.9,6.77,EPYC 2nd Gen
D4as v4,4.0,16.0,1.9,6.77,EPYC 2nd Gen
D4d v4,4.0,16.0,2.56,15.87,Cascade Lake
D4ds v4,4.0,16.0,2.56,15.87,Cascade Lake
D4s v3,4.0,16.0,7.6,24.05,Haswell
D4s v4,4.0,16.0,7.6,24.05,Haswell
D5 v2,16.0,56.0,30.41,96.21,Haswell
D64 v3,64.0,256.0,121.64,384.83,Haswell
D64 v4,64.0,256.0,40.89,253.91,Cascade Lake
D64a v4,64.0,256.0,30.35,108.35,EPYC 2nd Gen
D64as v4,64.0,256.0,30.35,108.35,EPYC 2nd Gen
D64d v4,64.0,256.0,40.89,253.91,Cascade Lake
D64ds v4,64.0,256.0,40.89,253.91,Cascade Lake
D64s v3,64.0,256.0,121.64,384.83,Haswell
D64s v4,64.0,256.0,121.64,384.83,Haswell
D8 v3,8.0,32.0,15.2,48.1,Haswell
D8 v4,8.0,32.0,5.11,31.74,Cascade Lake
D8a v4,8.0,32.0,3.79,13.54,EPYC 2nd Gen
D8as v4,8.0,32.0,3.79,13.54,EPYC 2nd Gen
D8d v4,8.0,32.0,5.11,31.74,Cascade Lake
D8ds v4,8.0,32.0,5.11,31.74,Cascade Lake
D8s v3,8.0,32.0,15.2,48.1,Haswell
D8s v4,8.0,32.0,15.2,48.1,Haswell
D96a v4,96.0,384.0,45.53,162.52,EPYC 2nd Gen
D96as v4,96.0,384.0,45.53,162.52,EPYC 2nd Gen
DC1s v2,1.0,4.0,1.14,5.42,Coffee Lake
DC2s v2,2.0,8.0,2.28,10.84,Coffee Lake
DC4s v2,4.0,16.0,4.55,21.69,Coffee Lake
DC8 v2,8.0,32.0,9.11,43.37,Coffee Lake
DS1 v2,1.0,3.5,1.9,6.01,Haswell
DS11 v2,2.0,14.0,3.8,12.03,Haswell
DS11-1 v2,0.5,14.0,0.42,1.85,Unknown
DS12 v2,4.0,28.0,7.6,24.05,Haswell
DS12-1 v2,0.25,28.0,0.21,0.92,Unknown
DS12-2 v2,0.5,28.0,0.42,1.85,Unknown
